system:index,B1,B2,B3,B4,B5,Latitude,Longitude,Pixel-Y,class,﻿Pixel-X,.geo
0000000000000000015b,0.0257,0.03,0.0448,0.0087,0.0046,49.74060061,-124.881346,8210.5,spawn,9675.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000116,0.0246,0.0312,0.0414,0.0065,0.0047,49.7409841,-124.8820077,8206.5,spawn,9670.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117,0.0246,0.0331,0.0442,0.0075,0.0047,49.74097917,-124.8818693,8206.5,spawn,9671.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012b,0.0246,0.0307,0.0422,0.0068,0.0047,49.74089439,-124.8820153,8207.5,spawn,9670.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012c,0.0246,0.0318,0.0448,0.0079,0.0047,49.74088946,-124.8818769,8207.5,spawn,9671.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,0.027,0.0356,0.046,0.0094,0.0048,49.74185165,-124.8811011,8196.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,0.027,0.0323,0.0502,0.0082,0.0048,49.74184672,-124.8809626,8196.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,0.027,0.0352,0.0456,0.0085,0.0048,49.74176193,-124.8811087,8197.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,0.027,0.0332,0.0472,0.0077,0.0048,49.741757,-124.8809702,8197.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,0.0224,0.0283,0.0387,0.0083,0.0048,49.74163673,-124.8826467,8199.5,spawn,9665.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,0.0249,0.029,0.0418,0.0079,0.0048,49.74151252,-124.8816852,8200.5,spawn,9672.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,0.0249,0.0326,0.0461,0.0082,0.0048,49.74150759,-124.8815468,8200.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,0.0265,0.0316,0.0422,0.0091,0.0048,49.7414928,-124.8811315,8200.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,0.0265,0.0334,0.048,0.0078,0.0048,49.74148787,-124.8809931,8200.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,0.0273,0.0365,0.0484,0.007,0.0048,49.74148294,-124.8808546,8200.5,spawn,9678.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,0.0273,0.0392,0.0502,0.0083,0.0048,49.74147801,-124.8807162,8200.5,spawn,9679.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,0.0295,0.0376,0.0505,0.009,0.0048,49.74143362,-124.8794703,8200.5,spawn,9688.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,0.0249,0.0289,0.0422,0.0087,0.0048,49.74142281,-124.8816928,8201.5,spawn,9672.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,0.0249,0.0315,0.0439,0.0086,0.0048,49.74141788,-124.8815544,8201.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,0.0265,0.0339,0.0429,0.0089,0.0048,49.74140309,-124.8811391,8201.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,0.0265,0.032,0.0472,0.0083,0.0048,49.74139816,-124.8810007,8201.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,0.0273,0.036,0.0471,0.0091,0.0048,49.74139323,-124.8808622,8201.5,spawn,9678.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,0.0273,0.0326,0.0514,0.0089,0.0048,49.74138829,-124.8807238,8201.5,spawn,9679.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,0.0295,0.0364,0.0504,0.0089,0.0048,49.74134391,-124.8794779,8201.5,spawn,9688.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,0.0295,0.0358,0.0496,0.0075,0.0048,49.74133898,-124.8793395,8201.5,spawn,9689.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da,0.0207,0.0258,0.0322,0.0076,0.0048,49.74121281,-124.8833768,8204.5,spawn,9660.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db,0.0207,0.025,0.0308,0.0067,0.0048,49.74120788,-124.8832384,8204.5,spawn,9661.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de,0.0223,0.0288,0.0393,0.0082,0.0048,49.7411931,-124.8828231,8204.5,spawn,9664.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df,0.0223,0.0272,0.037,0.0067,0.0048,49.74118817,-124.8826847,8204.5,spawn,9665.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,0.0223,0.0244,0.037,0.0074,0.0048,49.74110339,-124.8828307,8205.5,spawn,9664.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,0.0223,0.0241,0.0372,0.0075,0.0048,49.74109846,-124.8826923,8205.5,spawn,9665.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011e,0.0268,0.0335,0.0454,0.0086,0.0048,49.74094467,-124.8809003,8206.5,spawn,9678.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011f,0.0268,0.0356,0.0466,0.0104,0.0048,49.74093974,-124.8807619,8206.5,spawn,9679.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000133,0.0268,0.0328,0.0458,0.0086,0.0048,49.74085495,-124.8809079,8207.5,spawn,9678.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,0.0268,0.033,0.0466,0.0101,0.0048,49.74085002,-124.8807695,8207.5,spawn,9679.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,0.0265,0.0339,0.0466,0.0077,0.0049,49.74167222,-124.8811163,8198.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,0.0265,0.0326,0.0488,0.0085,0.0049,49.74166729,-124.8809779,8198.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,0.0265,0.0309,0.0445,0.0087,0.0049,49.74158251,-124.8811239,8199.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,0.0265,0.0319,0.0478,0.0086,0.0049,49.74157758,-124.8809855,8199.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4,0.0245,0.029,0.0449,0.0085,0.0049,49.74116353,-124.8819925,8204.5,spawn,9670.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5,0.0245,0.0325,0.0444,0.0082,0.0049,49.7411586,-124.8818541,8204.5,spawn,9671.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,0.0245,0.0306,0.0425,0.0083,0.0049,49.74107382,-124.8820001,8205.5,spawn,9670.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,0.0245,0.0331,0.0434,0.0094,0.0049,49.74106889,-124.8818617,8205.5,spawn,9671.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011c,0.0262,0.0328,0.0436,0.0078,0.0049,49.74095453,-124.8811771,8206.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011d,0.0262,0.034,0.0466,0.0078,0.0049,49.7409496,-124.8810387,8206.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,0.0262,0.0342,0.0448,0.0078,0.0049,49.74086481,-124.8811848,8207.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000132,0.0262,0.0349,0.0452,0.0079,0.0049,49.74085988,-124.8810463,8207.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e,0.0254,0.0332,0.0412,0.0067,0.0049,49.74079482,-124.8817461,8208.5,spawn,9672.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f,0.0254,0.0317,0.0437,0.0083,0.0049,49.74078989,-124.8816076,8208.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014d,0.0254,0.0339,0.043,0.0076,0.0049,49.74070511,-124.8817537,8209.5,spawn,9672.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e,0.0254,0.033,0.0432,0.0078,0.0049,49.74070018,-124.8816153,8209.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015c,0.0261,0.0349,0.0453,0.0074,0.0049,49.74059568,-124.8812076,8210.5,spawn,9676.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015d,0.0261,0.036,0.043,0.0086,0.0049,49.74059075,-124.8810691,8210.5,spawn,9677.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
